127.0.0.1 - - [05/Oct/2015:10:02:15 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:02:45 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:02:47 -0700] "GET /yadaserver/api/simpleyada/5601d8c862db1f1940fd9b86 HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:02:50 -0700] "OPTIONS /yadaserver/api/simpleyada/5601d8c862db1f1940fd9b86 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:02:50 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:02:50 -0700] "POST /yadaserver/api/simpleyada/5601d8c862db1f1940fd9b86 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:09 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:15 -0700] "GET /yadaserver/api/simpleyada/5601d8c862db1f1940fd9b86 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:18 -0700] "POST /yadaserver/api/simpleyada/5601d8c862db1f1940fd9b86 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:18 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:24 -0700] "GET /yadaserver/api/simpleyada/5602ee7f0ebab71ef79e847c HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:27 -0700] "OPTIONS /yadaserver/api/simpleyada/5602ee7f0ebab71ef79e847c HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:27 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1277
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:27 -0700] "POST /yadaserver/api/simpleyada/5602ee7f0ebab71ef79e847c HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:15:20 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [05/Oct/2015:14:27:45 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:35:28 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:35:32 -0700] "GET /yadaserver/api/simpleyada/5601d8c862db1f1940fd9b86 HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:35:41 -0700] "OPTIONS /yadaserver/api/simpleyada/5601d8c862db1f1940fd9b86 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:35:41 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:35:41 -0700] "POST /yadaserver/api/simpleyada/5601d8c862db1f1940fd9b86 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:35:46 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1274
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:02 -0700] "GET /yadaserver/api/simpleyada/5601d8c862db1f1940fd9b86 HTTP/1.1" 200 347
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:09 -0700] "POST /yadaserver/api/simpleyada/5601d8c862db1f1940fd9b86 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:09 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:12 -0700] "GET /yadaserver/api/simpleyada/5602ea710ebab71e4a591eb8 HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:17 -0700] "OPTIONS /yadaserver/api/simpleyada/5602ea710ebab71e4a591eb8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:17 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:17 -0700] "POST /yadaserver/api/simpleyada/5602ea710ebab71e4a591eb8 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:20 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:23 -0700] "GET /yadaserver/api/simpleyada/5602eaa60ebab71e4a591ec1 HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:28 -0700] "OPTIONS /yadaserver/api/simpleyada/5602eaa60ebab71e4a591ec1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:28 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:28 -0700] "POST /yadaserver/api/simpleyada/5602eaa60ebab71e4a591ec1 HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [05/Oct/2015:21:36:30 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1226
