127.0.0.1 - - [10/Oct/2015:12:19:19 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Oct/2015:12:19:35 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1132
0:0:0:0:0:0:0:1 - - [10/Oct/2015:12:19:41 -0700] "GET /yadaserver/api/simpleyada/5615a15b0ebab7f22d07d682 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [10/Oct/2015:12:19:43 -0700] "OPTIONS /yadaserver/api/simpleyada HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Oct/2015:12:19:43 -0700] "POST /yadaserver/api/simpleyada HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [10/Oct/2015:12:19:43 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:17:13:55 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:17:13:57 -0700] "GET /yadaserver/api/simpleyada/5615a15b0ebab7f22d07d682 HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [10/Oct/2015:17:14:02 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:17:14:16 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:17:15:20 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:17:17:53 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:17:18:52 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:17:21:01 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:20:21:03 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:20:21:11 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:37:05 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:37:09 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:39:35 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:40:16 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:44:15 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:44:38 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:44:43 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:44:45 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:44:48 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:45:35 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:21:48:52 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:09:21 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:09:33 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:09:47 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:11:42 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:12:03 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:22:48 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:23:20 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:24:29 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:24:58 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:33:16 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:33:35 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Oct/2015:23:35:24 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1136
