127.0.0.1 - - [31/Oct/2015:06:12:18 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Oct/2015:06:13:23 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:46:58 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:47:01 -0700] "GET /yadaserver/api/simpleyada/5615a15b0ebab7f22d07d682 HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:47:02 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:47:06 -0700] "GET /yadaserver/api/simpleyada/5615fd6b0ebab7f22d07d68a HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:47:07 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:47:08 -0700] "GET /yadaserver/api/simpleyada/5616f4df0ebab7f22d07d68b HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:47:10 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:47:12 -0700] "GET /yadaserver/api/simpleyada/562fe28d62db1f77aeaf4692 HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:47:12 -0700] "OPTIONS /yadaserver/api/simpleyada HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:47:12 -0700] "POST /yadaserver/api/simpleyada HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:47:12 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:48:38 -0700] "GET /yadaserver/api/simpleyada/562fe28d62db1f77aeaf4692 HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [31/Oct/2015:14:48:38 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [31/Oct/2015:15:27:28 -0700] "GET /yadaserver/api/simpleyada HTTP/1.1" 200 1401
